Complaint,CodedMonth,DateOccur,FlagCrime,FlagUnfounded,FlagAdministrative,Count,FlagCleanup,Crime,District,Description,ILEADSAddress,ILEADSStreet,Neighborhood,LocationName,LocationComment,CADAddress,CADStreet,XCoord,YCoord
14-033246,2014-08,04/24/2014 05:47,Y, , ,1, ,262100,5,PORNAGRAPHY-PROMOTING,4756,WESTMINSTER PL,38, , ,4756,WESTMINSTER,888598.2,1025286
14-033246,2014-08,04/24/2014 05:47, , , ,-1, ,262100,5,PORNAGRAPHY-PROMOTING,4756,WESTMINSTER PL,38, , ,4756,WESTMINSTER,888598.2,1025286
14-038721,2014-08,04/25/2014 07:26,Y, , ,1, ,266999,6,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,6336,HENNER AVE,70, ,NUISANCE ABATEMENT PROPERTY,6336,HENNER,886628.5,1043292
14-039116,2014-08,04/27/2014 02:38,Y, , ,1, ,266999,5,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,5043,KENSINGTON AVE,51, , ,5043,KENSINGTON,887402.3,1027188
14-035727,2014-08,04/29/2014 00:01,Y, , ,1, ,112010,5,FRAUD-CREDIT DEVICE/OVER $150,4529,PERSHING PL,38, , ,4529,PERSHING,889346.3,1024074
14-035512,2014-08,04/30/2014 12:00,Y, , ,1, , 67701,3,LARCENY-FROM BUILDING UNDER $500,2831,MIAMI ST,19, , ,2831,MIAMI,896797,1004028
14-037566,2014-08,05/01/2014 09:37,Y, , ,1, , 69602,5,"LARCENY-ALL OTHER $500 - $24,999",1274,HODIAMONT AVE,48, , ,1274,HODIAMONT,880346.8,1032520
14-038755,2014-08,05/01/2014 10:15,Y, , ,1, ,117000,3,FAILURE TO RETURN BORROWED/RENTED VEHICL,2726,ALLEN AVE,24, ,RESIDENCE,2726,ALLEN,898813.8,1011881
14-039346,2014-08,05/01/2014 12:00,Y, , ,1, , 67701,6,LARCENY-FROM BUILDING UNDER $500,4138,W KOSSUTH AVE,68, , ,4138,KOSSUTH,897942.2,1033075
14-038939,2014-08,05/04/2014 04:30,Y, , ,1, ,266999,5,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,4415,NORTH MARKET ST,57, , ,4415,NORTH MARKET,893337.1,1029418
