MonthReportedtoMSHP,DateOccured,NewCrimeIndicator,UnfoundedCrimeIndicator,AdministrativeAdjustmentIndicator,Count,Crime,District,Description,ILEADSAddress,ILEADSStreet,Neighborhood,LocationName,LocationComment,CADAddress,CADStreet,XCoord,YCoord
2010-07,07/23/2010 09:00,Y, , ,1, 51122,1,BURGLARY-RESIDENCE/DAY/UNLAW ENT/UNOCCUPIED,4216,LOUISIANA AVE,16, , ,4216,LOUISIANA,893985.3,1000135
2010-07,07/23/2010 09:30,Y, , ,1, 64701,7,LARCENY-FROM MTR VEH UNDER $500,5360,WABADA AVE,50, , ,5360,WABADA,886769.9,1033126
2010-07,07/23/2010 09:30,Y, , ,1, 51112,6,BURGLARY-RESIDENCE/DAY/FORCE ENT/UNOCCUPIED,5720,THEKLA AVE,72, , ,5720,THEKLA,891366.3,1044015
2010-07,07/23/2010 09:30,Y, , ,1, 51121,4,BURGLARY-RESIDENCE/DAY/UNLAW ENT/OCCUPIED,200,S 4TH ST,35,MILLENUM HOTEL,@MILLENIUM HOTEL,200,4TH,909014.1,1015761
2010-07,07/23/2010 09:30,Y, , ,1, 64701,4,LARCENY-FROM MTR VEH UNDER $500,0,N 14TH ST / DELMAR B,36,PARKING LOT, , , ,906380.6,1019734
2010-07,07/23/2010 09:32,Y, , ,1,182130,6,DRUGS-POSSESSION/HEROIN,0,"(90032441,103683194)",85, ,@OFALLON PARK, ,OFLAND PARK EAST END,900324.4,1036832
2010-07,07/23/2010 09:45,Y, , ,1,101000,7,FORGERY,3412,UNION BLVD,52,CENTRAL BANK, ,3412,UNION,889078.9,1035771
2010-07,07/23/2010 10:00,Y, , ,1,142320,4,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,2001,OLIVE ST,36, , ,1828,WASHINGTON,903457.7,1019207
2010-07,07/23/2010 10:15,Y, , ,1,142320,2,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,4926,SHAW AVE,12, , ,4926,SHAW,886559,1013676
2010-07,07/23/2010 10:25,Y, , ,1, 91113,2,SIMPLE ASSAULT-ADULT/NO INJURY,3331,WATSON RD,9, ,APT A,3331,WATSON,877449,1008032
2010-07,07/23/2010 10:29,Y, , ,1,266999,3,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,3442,HARTFORD ST,25, , ,3442,HARTFORD,894643.7,1007857
2010-07,07/23/2010 10:30,Y, , ,1, 51322,8,BURGLARY-RESDNCE/UNK TIM/UNLW EN/UNOCCUPIED,4462,NATURAL BRIDGE AVE,56, , ,4462,NATURAL BRIDGE,894810.1,1033027
2010-07,07/23/2010 10:50,Y, , ,1, 51111,8,BURGLARY-RESIDENCE/DAY/FORCE ENT/OCCUPIED,4210,E GARFIELD AVE,57, , ,4210,GARFIELD,895252.4,1027888
2010-07,07/23/2010 11:00,Y, , ,1, 66701,7,LARCENY-BICYCLES UNDER $500,5924,ROMAINE PL,78, , ,5924,ROMAINE,881412.3,1033128
2010-07,07/23/2010 11:00,Y, , ,1, 42023,7,AGG.ASSAULT-KNIFE/CITIZEN CHILD 3RD DEGREE,5942,HIGHLAND AVE,50, , ,5942,HIGHLAND,882598.2,1035738
2010-07,07/23/2010 11:00,Y, , ,1, 69602,3,"LARCENY-ALL OTHER $500 - $24,999",3550,GILES AVE,15, , ,3550,GILES,892785.9,1004689
2010-07,07/23/2010 11:00,Y, , ,1, 51111,7,BURGLARY-RESIDENCE/DAY/FORCE ENT/OCCUPIED,5051,LOTUS AVE,52, , ,5051,LOTUS,888534.8,1031926
2010-07,07/23/2010 11:08,Y, , ,1, 69603,8,"LARC-ALL OTH/FRM PRSN/$500 - $24,999",1112,N KINGSHIGHWAY BLVD,53,KING MARKET INC, ,1112,KINGSHIGHWAY,888061.9,1027871
2010-07,07/23/2010 11:17,Y, , ,1,241100,7,DISORDERLY CONDUCT-PEACE DSTRB/INDIVIDUAL,5961,WELLS AVE,78, , ,5961,WELLS,881637.9,1034215
2010-07,07/23/2010 11:30,Y, , ,1, 51312,3,BURGLARY-RESDNCE/UNK TIM/FORC ENT/UNOCCUPIED,3249,TEXAS AVE,30, ,VACANT RESIDENCE,3249,TEXAS,898378,1005844
2010-07,07/23/2010 11:46,Y, , ,1,241100,2,DISORDERLY CONDUCT-PEACE DSTRB/INDIVIDUAL,4200,HAMPTON AVE,7,MCDONALDS,1420 HAMPTON,4200,HAMPTON,879017.6,1005015
2010-07,07/23/2010 11:50,Y, , ,1, 64601,4,"LARCENY-FROM MTR VEH $500 - $24,999",0,S 6TH ST / HICKORY S,34, , , , ,907306.3,1013044
2010-07,07/23/2010 11:58,Y, , ,1,266100,1,PUBLIC ORDER-DEMONSTRATING,3453,GASCONADE ST,16, ,STREET,3456,GASCONADE,893454.9,1001225
2010-07,07/23/2010 11:58,Y, , ,1,182130,3,DRUGS-POSSESSION/HEROIN,2919,PESTALOZZI ST,25, , , , ,897047.1,1008603
2010-07,07/23/2010 12:00,Y, , ,1,142320,3,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,3915,CONNECTICUT ST,15, ,CITY STREET,3915,CONNECTICUT,891492.4,1007727
2010-07,07/23/2010 12:05,Y, , ,1,142320,6,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,8800,N BROADWAY,74, , ,8755,BROADWAY,897808.6,1052526
2010-07,07/23/2010 12:40,Y, , ,1,241100,3,DISORDERLY CONDUCT-PEACE DSTRB/INDIVIDUAL,2616,SHENANDOAH AVE,24,KIP S AUTO REPAIR,AUTO REPAIR SHOP,2616,SHENANDOAH,899257.3,1010172
2010-07,07/23/2010 12:45,Y, , ,1, 31112,1,ROBBERY-HIGHWAY     /FIREARM USED/ATTEMPT,3807,KEOKUK ST,16, , ,3804,BAMBERGER,891549.5,1002741
2010-07,07/23/2010 12:45,Y, , ,1, 51122,9,BURGLARY-RESIDENCE/DAY/UNLAW ENT/UNOCCUPIED,4212,WEST PINE BLVD,38, , ,4212,WEST PINE,891804.9,1021521
2010-07,07/23/2010 12:50,Y, , ,1, 51112,7,BURGLARY-RESIDENCE/DAY/FORCE ENT/UNOCCUPIED,5320,WELLS AVE,78, ,MULTI-FAMILY RESIDENCE,5320,WELLS,885915.9,1030937
2010-07,07/23/2010 13:00,Y, , ,1, 72113,2,AUTO THEFT-TRUCK/PERM RETNT/UNRECOV OVER 48HR,5501,NOTTINGHAM AVE,7, , ,5501,NOTTINGHAM,881000.5,1002513
2010-07,07/23/2010 13:07,Y, , ,1, 64701,2,LARCENY-FROM MTR VEH UNDER $500,6650,MANCHESTER AVE,10,K-MART, ,6650,MANCHESTER,877121.1,1013930
2010-07,07/23/2010 13:30,Y, , ,1,142320,2,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,5821,SUNSHINE DR,8, ,APT C,5821,SUNSHINE,878364.4,997069.4
2010-07,07/23/2010 13:30,Y, , ,1,241100,4,DISORDERLY CONDUCT-PEACE DSTRB/INDIVIDUAL,1114,MARKET ST,35,DISTRICT COURT,@DISTRICT COURT,1114,MARKET,906569.1,1017219
2010-07,07/23/2010 13:41,Y, , ,1, 92000,1,SIMPLE ASSAULT-HARRASSMENT,7133,YATES ST,4, , ,7133,YATES,884519.1,993334.8
2010-07,07/23/2010 13:45,Y, , ,1, 51122,6,BURGLARY-RESIDENCE/DAY/UNLAW ENT/UNOCCUPIED,5377,QUEENS AVE,71,SINGLE FAMILY RESIDENCE, ,5377,QUEENS,894296.8,1040573
2010-07,07/23/2010 14:00,Y, , ,1,142320,7,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,1244,UNION BLVD,51, , ,1244,UNION,0,0
2010-07,07/23/2010 14:15,Y, , ,1,130000,6,"STOLEN PROPERTY-BUYING,RECEIVING,POSSESSING,ET",4505,ATHLONE AVE,68, ,W ALLEY,4500,ATHLONE,898556.6,1035531
2010-07,07/23/2010 14:15,Y, , ,1,142320,3,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,3307,UTAH ST,25, , ,3307,UTAH,894945.4,1006320
2010-07,07/23/2010 14:30,Y, , ,1, 67601,9,"LARCENY-FROM BUILDING $500 - $24,999",3691,RUTGER ST,29, , ,3691,RUTGER,894212,1016212
2010-07,07/23/2010 15:15,Y, , ,1,182130,7,DRUGS-POSSESSION/HEROIN,1522,ARLINGTON AVE,50, , ,1522,ARLINGTON,885878.9,1032104
2010-07,07/23/2010 15:30,Y, , ,1, 52312,3,BURGLARY-BUSINESS/UNK TIME/FORC ENT/UNOCCUPIED,140,LAFAYETTE AVE,20, , ,140,LAFAYETTE,906743.5,1009605
2010-07,07/23/2010 15:30,Y, , ,1, 69602,9,"LARCENY-ALL OTHER $500 - $24,999",3140,CASS AVE,59, , ,3140,CASS,899029.8,1024596
