MonthReportedtoMSHP,DateOccured,NewCrimeIndicator,UnfoundedCrimeIndicator,AdministrativeAdjustmentIndicator,Count,Crime,District,Description,ILEADSAddress,ILEADSStreet,Neighborhood,LocationName,LocationComment,CADAddress,CADStreet,XCoord,YCoord
2010-06,03/22/2010 09:00,Y, , ,1, 67601,4,"LARCENY-FROM BUILDING $500 - $24,999",317,S 16TH ST,36, , ,317,16TH,904661.3,1017350
2010-06,03/23/2010 10:00,Y, , ,1, 67601,7,"LARCENY-FROM BUILDING $500 - $24,999",5386,PERSHING AVE,47, ,MULTI FAMILY APARTMENT COMPLEX,5386,PERSHING,883670.3,1024704
2010-06,03/23/2010 19:17,Y, , ,1,121000,3,EMBEZZLEMENT-VALUE OVER $150,3202,S KINGSHIGHWAY BLVD,15,HOME DEPOT, ,3202,KINGSHIGHWAY,886045.3,1008369
2010-06,03/25/2010 10:00,Y, , ,1, 51322,9,BURGLARY-RESDNCE/UNK TIM/UNLW EN/UNOCCUPIED,3828,LAFAYETTE AVE,29, ,VACANT RESIDENTIAL PROPERTY,3828,LAFAYETTE,893440.9,1013694
2010-06,03/26/2010 08:00,Y, , ,1, 71013,7,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,5301,DELMAR BLVD,49, , ,5300,DELMAR,884928.5,1026515
2010-06,03/26/2010 12:39,Y, , ,1,265321,6,LEAVING SCENE OF ACCIDENT,0,N BROADWAY / WALTER,74, , , , ,897218.9,1048726
2010-06,03/27/2010 09:00, ,Y, ,-1, 67701,9,LARCENY-FROM BUILDING UNDER $500,2925,SAMUEL SHEPARD,37, , ,1406,HOGAN,0,0
2010-06,03/28/2010 03:00, ,Y, ,-1, 71013,7,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,5096,MINERVA,51, , APT B,5096,MINERVA,0,0
2010-06,04/01/2008 00:01,Y, , ,1,172100,1,SEX OFFNS-SODOMY/FORCIBLE,2800,CHIPPEWA ST,16, , , , ,896558.1,1002547
2010-06,04/01/2010 13:00,Y, , ,1, 51312,3,BURGLARY-RESDNCE/UNK TIM/FORC ENT/UNOCCUPIED,3748,POTOMAC ST,15, , ,3748,POTOMAC,892217.9,1005254
2010-06,04/02/2010 10:58,Y, , ,1,266999,4,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,1417,PEABODY CT,33,PEABODY HOUSING PROJECT, ,1417,PEABODY,904332.6,1013735
2010-06,04/04/2009 22:40, , ,Y,1, 82000,1,ARSON-2ND DEGREE/SUCCESS,3921,OHIO,16, ,SINGLE FAMILY DWELLING, , ,0,0
2010-06,04/04/2010 17:20,Y, , ,1,266999,4,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,1410,MORRISON LN,33,PEABODY HOUSING COMPLEX, ,1410,MORRISON,904343.1,1013551
2010-06,04/07/2010 20:29,Y, , ,1,265321,3,LEAVING SCENE OF ACCIDENT,3202,S KINGSHIGHWAY BLVD,15, ,@HOME DEPOT,3202,KINGSHIGHWAY,886045.3,1008369
2010-06,04/08/2010 14:15,Y, , ,1, 65701,2,LARCENY-MTR VEH PARTS UNDER $500,5641,MANCHESTER AVE,12, , ,5641,MANCHESTER,882935.9,1015878
2010-06,04/09/2010 02:30, ,Y, ,-1, 71013,3,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,3456,PENNSYLVANIA,19, , ,3456,PENNSYLVANIA,0,0
2010-06,04/09/2010 07:00,Y, , ,1,209999,9,FAMILY & CHILD CRIME-OTHR UNSPEC FAM/CHILD OFF,919,N JEFFERSON AVE,59, ,@CPD,919,JEFFERSON,902219.7,1021301
2010-06,04/09/2010 14:12,Y, , ,1, 67701,1,LARCENY-FROM BUILDING UNDER $500,6428,ALABAMA AVE,1, , ,6428,ALABAMA,890471.2,992357.4
2010-06,04/09/2010 19:15,Y, , ,1,266999,4,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,1003,DILLON CT,33,PEABODY HOUSING COMPLEX, ,1003,DILLON,904149.1,1014722
2010-06,04/10/2010 10:23,Y, , ,1,266999,4,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,1440,KEALTY LN,33,PEABODY HOUSING COMPLEX, ,1440,KEALTY,904158.9,1014077
2010-06,04/10/2010 16:30,Y, , ,1, 91113,8,SIMPLE ASSAULT-ADULT/NO INJURY,4422,ASHLAND AVE,56, , ,4422,ASHLAND,894732.6,1032099
2010-06,04/14/2010 11:52,Y, , ,1,264100,4,HEALTH-SANITATION VIOL,1301,N 8TH ST,62,CAMBRIDGE HEIGHTS, ,1301,8TH,909174.6,1021833
2010-06,04/15/2010 09:00,Y, , ,1, 67701,3,LARCENY-FROM BUILDING UNDER $500,3246,GRAVOIS AVE,30, , ,3246,GRAVOIS,895293.6,1006355
2010-06,04/15/2010 10:57,Y, , ,1,115400,2,STLG BY DECEIT/IDENTITY THEFT REPORT,5204,OLEATHA AVE,14, , ,5204,OLEATHA,883428.6,1006163
2010-06,04/15/2010 12:00, ,Y, ,-1, 51322,3,BURGLARY-RESDNCE/UNK TIM/UNLW EN/UNOCCUPIED,3627,GUSTINE,15, ,:APT A,3627,GUSTINE,0,0
2010-06,04/16/2010 07:02,Y, , ,1, 67601,9,"LARCENY-FROM BUILDING $500 - $24,999",4550,FOREST PARK AVE,38, , ,4550,FOREST PARK,888974.3,1021449
2010-06,04/19/2009 16:00, ,Y, ,-1, 67701,5,LARCENY-FROM BUILDING UNDER $500,3203,DODIER,59, , ,3203,DODIER,0,0
2010-06,04/21/2010 00:01,Y, , ,1, 51312,2,BURGLARY-RESDNCE/UNK TIM/FORC ENT/UNOCCUPIED,6007,HARTFORD ST,9, ,SINGLE FAMILY BRICK DWELLING,6007,HARTFORD,880277,1009712
2010-06,04/21/2010 08:00,Y, , ,1, 67601,3,"LARCENY-FROM BUILDING $500 - $24,999",1826,LAMI ST,22, , ,1826,LAMI,901741.4,1009347
2010-06,04/22/2010 14:00,Y, , ,1, 67701,4,LARCENY-FROM BUILDING UNDER $500,736,S BROADWAY,35,BROADWAY OYSTER BAR, ,700,BROADWAY,908097.1,1014297
2010-06,04/22/2010 18:00,Y, , ,1, 71013,6,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,7410,HALL,79,ST. LOUIS CITY TOW, ,7410,HALL,0,0
2010-06,04/22/2010 18:00,Y, , ,1, 71013,6,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,7410,HALL,79,ST. LOUIS CITY TOW, ,7410,HALL,0,0
2010-06,04/22/2010 18:00,Y, , ,1, 72113,6,AUTO THEFT-TRUCK/PERM RETNT/UNRECOV OVER 48HR,7410,HALL,79,ST. LOUIS CITY TOW, ,7410,HALL,0,0
2010-06,04/23/2010 09:30,Y, , ,1, 65701,2,LARCENY-MTR VEH PARTS UNDER $500,4,HAMPTON VILLAGE PLZ,7,HAMPTON VILLAGE, , , ,0,0
2010-06,04/23/2010 21:30, , ,Y,1,241100,7,DISORDERLY CONDUCT-PEACE DSTRB/INDIVIDUAL,5902, ,48, , ,5902,HORTON,0,0
2010-06,04/23/2010 21:30, , ,Y,-1, 51322,7,BURGLARY-RESDNCE/UNK TIM/UNLW EN/UNOCCUPIED,5902, ,48, , ,5902,HORTON,0,0
2010-06,04/23/2010 23:15, ,Y, ,-1, 71013,7,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,5215,ASHLAND,52, ,ON STREET,5215,ASHLAND,0,0
2010-06,04/25/2010 15:00,Y, , ,1, 65701,1,LARCENY-MTR VEH PARTS UNDER $500,8112,S BROADWAY,2, , ,8112,BROADWAY,888260.3,986764.3
2010-06,04/26/2010 10:11,Y, , ,1, 67701,4,LARCENY-FROM BUILDING UNDER $500,501,N BROADWAY,35,STIFELNICOLAUS, ,501,BROADWAY,909060.6,1018285
2010-06,04/26/2010 13:55,Y, , ,1,262100,3,PORNAGRAPHY-PROMOTING,4440,THOLOZAN AVE,15, , ,4440,THOLOZAN,886772.2,1004895
