MonthReportedtoMSHP,DateOccured,NewCrimeIndicator,UnfoundedCrimeIndicator,AdministrativeAdjustmentIndicator,Count,Crime,District,Description,ILEADSAddress,ILEADSStreet,Neighborhood,LocationName,LocationComment,CADAddress,CADStreet,XCoord,YCoord
2008-09,04/15/2008 00:01,Y, , ,1, 65701,3,LARCENY-MTR VEH PARTS UNDER $500,1821,S 9TH ST,21, , ,1821,S 9TH,904744.6,1010929
2008-09,04/29/2000 11:29,Y, , ,1, 21000,1,RAPE -- FORCIBLE,6700,MICHIGAN AVE,1, , ,6700,MICHIGAN,890544.9,991275
2008-09,04/30/2003 00:01,Y, , ,1,172100,3,SEX OFFNS-SODOMY/FORCIBLE,3600,ARSENAL ST,15, , ,3600,ARSENAL,893600.6,1008366
2008-09,05/01/2008 00:01,Y, , ,1,115400,9,STLG BY DECEIT/IDENTITY THEFT REPORT,3920,LINDELL BLVD,38, , ,3920,LINDELL,893922.1,1021513
2008-09,05/01/2008 11:20,Y, , ,1,204200,6,FAMILY & CHILD CRIME-CNTRIB DELINQ MINOR,5955,ERA AVE,73, , ,5955,ERA,890960.5,1049046
2008-09,05/01/2008 15:02,Y, , ,1,204100,6,FAMILY & CHILD CRIME-ENDANGR WELF CHILD,4942,HARNEY AVE,71, , ,4942,HARNEY,894902.3,1039722
2008-09,05/02/2008 09:00,Y, , ,1, 65701,3,LARCENY-MTR VEH PARTS UNDER $500,2805,MCNAIR AVE,22, , ,2805,MCNAIR,900098.6,1008180
2008-09,05/08/2008 10:00,Y, , ,1,115400,1,STLG BY DECEIT/IDENTITY THEFT REPORT,1219,HOLLY HILLS AVE,1, , ,1219,HOLLY HILLS,889294.9,993562.9
2008-09,05/13/1992 00:01,Y, , ,1,115400,3,STLG BY DECEIT/IDENTITY THEFT REPORT,3509,MIAMI ST,19, , ,3509,MIAMI,893786,1004511
2008-09,05/13/2004 08:00,Y, , ,1,115400,1,STLG BY DECEIT/IDENTITY THEFT REPORT,4051,BINGHAM AVE,16, , ,4051,BINGHAM,889809,1002257
2008-09,05/14/2007 10:00,Y, , ,1,111200,2,FRAUD-BAD CHECK/NO ACCOUNT,6487,MANCHESTER AVE,43, ,COLOMBO S,6487,MANCHESTER,878180.7,1014948
2008-09,05/14/2008 08:00,Y, , ,1, 65601,9,"LARCENY-MTR VEH PARTS $500 - $24,999",3218,SAMUEL SHEPARD DR,77,OUTKAST KUSTOM TOW YARD, ,3218,SAMUEL SHEPARD DR,898783.9,1021423
2008-09,05/15/2008 08:00,Y, , ,1,103000,1,FORGERY-ISSUING FALSE INSTRUMENT OR CERTIFICAT,2821,MERAMEC ST,16,MERAMEC MARKET, ,2821,MERAMEC,896299.8,1000102
2008-09,05/20/2008 09:00,Y, , ,1, 67601,2,"LARCENY-FROM BUILDING $500 - $24,999",5416,SUTHERLAND AVE,7, , ,5416,SUTHERLAND,881775.4,1003522
2008-09,05/21/2008 22:05,Y, , ,1,262100,5,PORNAGRAPHY-PROMOTING,1525,ANGELRODT ST,65, , ,1525,ANGELRODT,905973.6,1028514
2008-09,05/23/2008 14:00,Y, , ,1, 65701,4,LARCENY-MTR VEH PARTS UNDER $500,1931,DELMAR BLVD,36, ,GRUM AUTO REPAIR,1931,DELMAR,903971.6,1020487
2008-09,05/29/2008 14:50,Y, , ,1,115100,7,FRAUD-STEALING BY DECEIT/OVER $150,5118,RAYMOND AVE,51, , ,5118,RAYMOND,886763.8,1028235
2008-09,05/30/2008 12:00,Y, , ,1, 71013,8,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,4533,MCMILLAN AVE,54, , ,4533,MCMILLAN,890940.5,1026838
2008-09,05/30/2008 16:47,Y, , ,1, 67701,5,LARCENY-FROM BUILDING UNDER $500,2920,BAILEY AVE,67, , ,2920,BAILEY,902315.6,1029995
2008-09,06/01/2008 08:00,Y, , ,1, 67701,4,LARCENY-FROM BUILDING UNDER $500,1021,LASALLE PARK CT,34, , ,1021,LASALLE PARK CT,905667.4,1013677
2008-09,06/01/2008 10:00,Y, , ,1,115400,1,STLG BY DECEIT/IDENTITY THEFT REPORT,4186,NEOSHO ST,5, , ,4186,NEOSHO,887765.5,1001566
2008-09,06/04/2008 06:35,Y, , ,1, 65701,6,LARCENY-MTR VEH PARTS UNDER $500,5813,PARK LN,73, , ,5813,PARK LN,891512.9,1047852
2008-09,06/09/1986 00:01,Y, , ,1,172300,5,SEX OFFNS-STATUATORY SODOMY/FIRST,2600,BLAIR AVE,63, ,RESIDENCE DEMOLISHED SINCE TIME OF I,2600,BLAIR,906288.7,1025530
2008-09,06/10/2008 09:00,Y, , ,1,101000,5,FORGERY,4300,N 20TH ST,66,MV MARKET, ,4300,N 20TH,904008.8,1032123
2008-09,06/15/2008 19:00,Y, , ,1, 65701,7,LARCENY-MTR VEH PARTS UNDER $500,5110,PALM ST,52, , ,5110,PALM,890135,1035238
2008-09,06/16/2008 08:40, , ,Y,1, 32421,7,ROBBERY-RESIDENCE/STRNGARM/NO INJ/SUCCESS,465,LAUREL ST,46, , ,0,LAUREL,880352.3,1026366
2008-09,06/16/2008 08:40, , ,Y,-1, 91114,7,"ASSAULT, ADULT, AGE 17 AND UP-DOMESTIC",465,LAUREL ST,46, , ,0,LAUREL,880352.3,1026366
2008-09,06/16/2008 09:56,Y, , ,1,121000,7,EMBEZZLEMENT-VALUE OVER $150,3431,UNION BLVD,50, ,@SCHNUCKS - CITY PLAZA ON UNION @SCH,3431,UNION,888884.8,1036000
2008-09,06/19/2008 12:30,Y, , ,1, 64701,4,LARCENY-FROM MTR VEH UNDER $500,1442,LASALLE ST,33, , ,1442,LASALLE,904471.5,1014122
2008-09,06/19/2008 22:00,Y, , ,1,142320,1,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,3703,BATES ST,3, , ,3703,BATES,889823.8,996468.6
2008-09,06/20/2008 15:23,Y, , ,1,209999,2,FAMILY & CHILD CRIME-OTHR UNSPEC FAM/CHILD OFF,6833,BRADLEY AVE,9, , ,6833,BRADLEY,875451.6,1009254
2008-09,06/23/2008 07:00,Y, , ,1, 69602,4,"LARCENY-ALL OTHER $500 - $24,999",710,N 2ND ST,35, , ,0,N 2ND,910429,1018494
2008-09,06/25/2008 10:00,Y, , ,1,101000,2,FORGERY,4249,WATSON RD,9, ,FIRST COMMUNITY BANK,4249,WATSON,876712.9,1004776
2008-09,06/26/2008 21:00,Y, , ,1,142320,1,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,6644,GRAVOIS AVE,4, , ,6644,GRAVOIS,882215.7,997027.3
2008-09,06/29/2008 22:00, ,Y, ,-1, 71013,7,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,5239,MAFFITT AVE,52, , ,5239,MAFFITT,888309.9,1033710
2008-09,06/30/2008 12:00,Y, , ,1, 92000,9,SIMPLE ASSAULT-HARRASSMENT,634,N GRAND BLVD,77, , ,0,N GRAND,897175.1,1021776
2008-09,07/01/2007 00:01,Y, , ,1, 43016,7,ASSLT-AGGRAV-OTH-WPN-3RD-ADULT-DOMESTIC,5320,WELLS AVE,78, , ,5320,WELLS,885915.9,1030937
2008-09,07/01/2008 00:01,Y, , ,1, 67701,4,LARCENY-FROM BUILDING UNDER $500,1707,S 11TH ST,34, , ,1707,S 11TH,904488.5,1011984
2008-09,07/01/2008 10:00,Y, , ,1, 51312,3,BURGLARY-RESDNCE/UNK TIM/FORC ENT/UNOCCUPIED,3541,S SPRING AVE,15, , ,3541,S SPRING,892224.8,1004866
2008-09,07/01/2008 10:00,Y, , ,1, 67701,2,LARCENY-FROM BUILDING UNDER $500,1121,HAMPTON AVE,42,COURTESY DINER, ,1121,HAMPTON,880892.6,1017855
2008-09,07/01/2008 12:00,Y, , ,1, 92000,9,SIMPLE ASSAULT-HARRASSMENT,3101,CHOUTEAU AVE,37, , ,3101,CHOUTEAU,898012.9,1016579
2008-09,07/01/2008 12:00,Y, , ,1, 71013,3,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,1900,THURMAN AVE,27, , ,1900,THURMAN,891522.2,1013310
2008-09,07/02/2008 08:00,Y, , ,1, 67701,9,LARCENY-FROM BUILDING UNDER $500,1311,S 39TH ST,29, ,@CL SMITH,1311,39TH,893529.4,1015954
2008-09,07/04/2008 15:00,Y, , ,1, 51312,7,BURGLARY-RESDNCE/UNK TIM/FORC ENT/UNOCCUPIED,1523,ARLINGTON AVE,50, , ,1523,ARLINGTON,885723.4,1032238
2008-09,07/05/2008 02:00, ,Y, ,-1, 67701,4,LARCENY-FROM BUILDING UNDER $500,704,DICKSON ST,62, ,MULTIFAMILY DWELLING,0,DICKSON,908791.8,1021754
2008-09,07/06/2008 21:00, ,Y, ,-1, 71030,6,AUTO THEFT-PERM RETNT/JOY RIDE,4440,FARLIN AVE,69, , ,4440,FARLIN,895631.4,1034035
