MonthReportedtoMSHP,DateOccured,NewCrimeIndicator,UnfoundedCrimeIndicator,AdministrativeAdjustmentIndicator,Count,Crime,District,Description,ILEADSAddress,ILEADSStreet,Neighborhood,LocationName,LocationComment,CADAddress,CADStreet,XCoord,YCoord
2009-04,04/23/2009 09:57,Y, , ,1,182400,4,DRUGS-POSSESSION/MARIJUANA,520,S JEFFERSON AVE,36, , ,520,JEFFERSON,901232.9,1016974
2009-04,04/23/2009 10:00,Y, , ,1, 67701,9,LARCENY-FROM BUILDING UNDER $500,4451,FOREST PARK AVE,38, ,@PARKVIEW APTS,4451,FOREST PARK,889537.3,1021388
2009-04,04/23/2009 10:00,Y, , ,1, 71013,1,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,416,WILMINGTON AVE,1, , ,416,WILMINGTON,892286.3,993269.8
2009-04,04/23/2009 10:15,Y, , ,1, 31111,5,ROBBERY-HIGHWAY  /FIREARM USED/SUCCESSFUL,2900,HADLEY ST,63,AMES CERA SCHOOL, ,2900,HADLEY,907318.5,1026682
2009-04,04/23/2009 10:23,Y, , ,1,266510,3,PUBLIC ORDER-TRESPASSING,0,S BROADWAY / GEYER A,20,GLOBE DRUG, , , ,905708.8,1010240
2009-04,04/23/2009 10:30,Y, , ,1, 31111,7,ROBBERY-HIGHWAY  /FIREARM USED/SUCCESSFUL,5601,WELLS AVE,78, , , , ,883905.3,1032488
2009-04,04/23/2009 10:43,Y, , ,1, 91113,1,SIMPLE ASSAULT-ADULT/NO INJURY,7417,VERMONT AVE,2,ALTERNATIVE SOUTH/LYON SCHOOL, ,7417,VERMONT,888311.6,989833.9
2009-04,04/23/2009 10:43,Y, , ,1, 91123,1,SIMPLE ASSAULT-CHILD/NO INJURY,7417,VERMONT AVE,2,ALTERNATIVE SOUTH/LYON SCHOOL, ,7417,VERMONT,888311.6,989833.9
2009-04,04/23/2009 10:43,Y, , ,1, 91113,1,SIMPLE ASSAULT-ADULT/NO INJURY,7417,VERMONT AVE,2,ALTERNATIVE SOUTH/LYON SCHOOL, ,7417,VERMONT,888311.6,989833.9
2009-04,04/23/2009 10:55,Y, , ,1, 41011,3,AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE,3120,OHIO AVE,30, , , , ,898419.9,1007011
2009-04,04/23/2009 10:55,Y, , ,1, 41011,3,AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE,3120,OHIO AVE,30, , , , ,898419.9,1007011
2009-04,04/23/2009 11:00,Y, , ,1,115100,4,FRAUD-STEALING BY DECEIT/OVER $150,730,S BROADWAY,35,HOTSHOTS, ,730,BROADWAY,908119.9,1014368
2009-04,04/23/2009 11:00,Y, , ,1, 51112,3,BURGLARY-RESIDENCE/DAY/FORCE ENT/UNOCCUPIED,3619,S SPRING AVE,15, ,OCCUPIDE RESIDENCE,3619,SPRING,892128.2,1004199
2009-04,04/23/2009 11:15,Y, , ,1,266510,4,PUBLIC ORDER-TRESPASSING,1506,LASALLE LN,33,FRENCHTOWN APARTMENTS, , , ,903995.7,1014255
2009-04,04/23/2009 11:20,Y, , ,1,266100,9,PUBLIC ORDER-DEMONSTRATING,0,S GRAND BLVD / I 44,31, , , , ,894727.1,1013527
2009-04,04/23/2009 11:27,Y, , ,1,182400,6,DRUGS-POSSESSION/MARIJUANA,5708,GOODFELLOW BLVD,76, , ,5608,GOODFELLOW,889788.2,1047971
2009-04,04/23/2009 11:40,Y, , ,1, 41011,6,AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE,6026,SHULTE AVE,76, , ,6029,SHULTE,890475.5,1046429
2009-04,04/23/2009 11:40,Y, , ,1, 41011,6,AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE,6026,SHULTE AVE,76, , ,6029,SHULTE,890475.5,1046429
2009-04,04/23/2009 11:40,Y, , ,1, 41021,6,AGG.ASSAULT-FIREARM/CITIZEN CHILD 1ST DEGREE,6026,SHULTE AVE,76, , ,6029,SHULTE,890475.5,1046429
2009-04,04/23/2009 12:00,Y, , ,1, 21000,7,RAPE -- FORCIBLE,1300,UNION BLVD,51, , ,1300,UNION,885538.3,1029718
2009-04,04/23/2009 12:00,Y, , ,1,142320,1,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,4045,GILES AVE,16, ,2 FAMILY DWELLING,4045,GILES,892137,1001687
2009-04,04/23/2009 12:00,Y, , ,1, 71013,6,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,5269,DAVISON AVE,72, , ,5269,DAVISON,892329.8,1042457
2009-04,04/23/2009 12:30,Y, , ,1, 51112,9,BURGLARY-RESIDENCE/DAY/FORCE ENT/UNOCCUPIED,3701,COTE BRILLIANTE AVE,59, , ,3701,COTE BRILLIANTE,898255.3,1025940
2009-04,04/23/2009 12:40,Y, , ,1, 31421,4,ROBBERY-HIGHWAY  /STRNGARM/NO INJ/SUCCESS,0,S 7TH ST / HICKORY S,34,LOHR PARKING LOT, , , ,906975.4,1013139
2009-04,04/23/2009 12:55,Y, , ,1,182400,3,DRUGS-POSSESSION/MARIJUANA,3331,S JEFFERSON AVE,30, ,4 FAMILY FLAT, , ,898603.1,1005294
2009-04,04/23/2009 13:00,Y, , ,1, 63701,8,LARCENY-SHOPLIFT UNDER $500,1330,AUBERT AVE,53,KING BEAUTY SUPPLY,SUITE 107,1330,AUBERT,888737.2,1029663
2009-04,04/23/2009 13:01,Y, , ,1,183130,5,DRUGS-SALE/HEROIN,3763,LEE AVE,67, , ,3763,LEE,901178.3,1032042
2009-04,04/23/2009 13:15,Y, , ,1, 91114,7,"ASSAULT, ADULT, AGE 17 AND UP-DOMESTIC",5144,LEXINGTON AVE,52, , ,5144,LEXINGTON,889690.6,1035124
2009-04,04/23/2009 13:30,Y, , ,1,142320,3,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,2713,UTAH ST,30, ,ALLEY,2713,UTAH,897996,1005853
2009-04,04/23/2009 13:40,Y, , ,1,142320,1,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,3946,MINNESOTA AVE,16, , ,3946,MINNESOTA,895515.6,1001592
