Complaint,CodedMonth,DateOccur,FlagCrime,FlagUnfounded,FlagAdministrative,Count,FlagCleanup,Crime,District,Description,ILEADSAddress,ILEADSStreet,Neighborhood,LocationName,LocationComment,CADAddress,CADStreet,XCoord,YCoord
15-053755,2015-10,4/2/2013 0:01,Y, , ,1, ,115400,4,STLG BY DECEIT/IDENTITY THEFT REPORT,2827,N 14TH ST,63, , ,4014,UNION,906378.8,1026366
15-015487,2015-10,4/3/2015 17:30,Y, , ,1, ,182250,6,DRUGS-POSSESSION/COCAINE,760,THRUSH AVE,74, , ,760,THRUSH,897315.3,1047199
15-050464,2015-10,4/6/2015 15:42,Y, , ,1, ,130000,3,"STOLEN PROPERTY-BUYING,RECEIVING,POSSESSING,ET",4101,NEBRASKA AVE,16, ,BRWN F150 5HU646, , ,895895,1000696
15-052438,2015-10,4/7/2015 6:45,Y, , ,1, ,262100,1,PORNAGRAPHY-PROMOTING,4237,S SPRING AVE,16, ,SINGLE FAMILY,4237,SPRING,891562,1001115
15-017164,2015-10,4/11/2015 21:00,Y, , ,1, ,142320,5,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,5245,PAULIAN PL,52,STREET, ,5245,PAULIAN,886930.9,1031586
15-017351,2015-10,4/12/2015 22:00,Y, , ,1, ,265321,4,LEAVING SCENE OF ACCIDENT,1504,BIDDLE ST,61, , ,1504,BIDDLE,905664.1,1021110
15-019231,2015-10,4/13/2015 21:30,Y, , ,1, ,91113,6,SIMPLE ASSAULT-ADULT/NO INJURY,4977,PLOVER AVE,72,RESIDENCE, ,4977,PLOVER,890290.1,1042641
15-017653,2015-10,4/14/2015 13:18,Y, , ,1, ,182130,6,DRUGS-POSSESSION/HEROIN,5017,ARLINGTON AVE,71, , ,4245,KINGSHIGHWAY,891933.1,1040989
15-055253,2015-10,4/19/2007 19:29,Y, , ,1, ,115400,1,STLG BY DECEIT/IDENTITY THEFT REPORT,4432,PENNSYLVANIA AVE,17, , ,4432,PENNSYLVANIA,895392.4,998463.8
15-019434,2015-10,4/21/2015 23:30,Y, , ,1, ,61701,6,LARCENY-PICKPOCKET UNDER $500,4600,W FLORISSANT AVE,71,BUS,METRO,4600,FLORISSANT,897298.9,1037729
15-051294,2015-10,4/22/2015 0:12,Y, , ,1, ,115100,5,FRAUD-STEALING BY DECEIT/OVER $150,4100,FOREST PARK AVE,38, , ,4100,FOREST PARK,892146.4,1020235
15-050941,2015-10,4/23/2015 11:14,Y, , ,1, ,263899,4,OBSTRUCT GOVRN OP-OTHR UNSPC GOV REG VIOL,1915,OLIVE ST,36, ,@HEADQUARTERS,1915,OLIVE,903703.7,1019090
15-053762,2015-10,4/24/2010 0:01,Y, , ,1, ,21000,1,RAPE -- FORCIBLE,8700,S BROADWAY,2, , ,8700,BROADWAY,0,0
15-020121,2015-10,4/24/2015 13:52, , , ,1, ,31111,1,ROBBERY-HIGHWAY  /FIREARM USED/SUCCESSFUL,3641,BATES,3, , ,3641,BATES,0,0
15-020121,2015-10,4/24/2015 13:52, , , ,-1, ,72113,1,AUTO THEFT-TRUCK/PERM RETNT/UNRECOV OVER 48HR,3641,BATES,3, , ,3641,BATES,0,0
15-050101,2015-10,5/1/2013 0:01,Y, , ,1, ,21000,6,RAPE -- FORCIBLE,4300,HOLLY AVE,68, , ,4300,HOLLY,0,0
15-021953,2015-10,5/5/2015 20:00, , , ,1, ,71030,2,AUTO THEFT-PERM RETNT/JOY RIDE,6252,ROSEBURY,45, , ,6252,ROSEBURY,0,0
15-021953,2015-10,5/5/2015 20:00, , , ,-1, ,71013,2,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,6252,ROSEBURY,45, , ,6252,ROSEBURY,0,0
15-052068,2015-10,5/7/2015 7:00,Y, , ,1, ,101000,6,FORGERY,4014,UNION BLVD,70, ,@NORTH PATROL DIVISION,4014,UNION,890074.4,1037079
15-027345,2015-10,5/12/2015 0:30,Y, , ,1, ,67601,4,"LARCENY-FROM BUILDING $500 - $24,999",3700,LACLEDE AVE,37, ,@BAR- HUMPHREYS,3700,LACLEDE,895201.2,1020147
15-023896,2015-10,5/16/2015 10:40,Y, , ,1, ,265321,2,LEAVING SCENE OF ACCIDENT,900,MCKINLEY DR,82, , , , ,882895.3,1019471
15-024565,2015-10,5/20/2015 7:41,Y, , ,1, ,265321,3,LEAVING SCENE OF ACCIDENT,2220,S 9TH ST,21, , ,2220,9TH,904222.9,1009174
15-025748,2015-10,5/26/2015 19:51,Y, , ,1, ,67701,4,LARCENY-FROM BUILDING UNDER $500,0,N 14TH ST / LOCUST ST,36, , , , ,905912.1,1018863
14-023323,2015-10,5/29/2014 0:01, , , ,1, ,67601,5,"LARCENY-FROM BUILDING $500 - $24,999",5065,COTE BRILLIANTE,52, , ,5065,COTE BRILLIANTE,0,0
14-023323,2015-10,5/29/2014 0:01, , , ,-1, ,67701,5,LARCENY-FROM BUILDING UNDER $500,5065,COTE BRILLIANTE,52, , ,5065,COTE BRILLIANTE,0,0
15-053546,2015-10,5/29/2015 14:00,Y, , ,1, ,266999,5,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,605,CLARA AVE,47, , ,605,CLARA,882250.6,1026528
15-053499,2015-10,5/31/2015 10:00,Y, , ,1, ,115100,4,FRAUD-STEALING BY DECEIT/OVER $150,210,N 9TH ST,35,THE PERCH, ,910,9TH,907693.9,1017720
15-051739,2015-10,6/1/2015 11:00,Y, , ,1, ,171300,3,SEX OFFNS-STATUATORY RAPE/SECOND,3200,NEBRASKA AVE,30, , ,3200,NEBRASKA,0,0
15-052587,2015-10,6/1/2015 12:00,Y, , ,1, ,51312,3,BURGLARY-RESDNCE/UNK TIM/FORC ENT/UNOCCUPIED,3431,CALIFORNIA AVE,19, , ,3431,CALIFORNIA,897225.4,1004867
15-028085,2015-10,6/8/2015 12:49,Y, , ,1, ,182400,4,DRUGS-POSSESSION/MARIJUANA,520,S JEFFERSON AVE,36, , ,520,JEFFERSON,901232.9,1016974
15-053026,2015-10,6/9/2015 0:01,Y, , ,1, ,115400,6,STLG BY DECEIT/IDENTITY THEFT REPORT,4704,ASHLAND AVE,55, , ,4704,ASHLAND,892642.1,1033064
15-053323,2015-10,6/11/2015 15:18,Y, , ,1, ,115100,5,FRAUD-STEALING BY DECEIT/OVER $150,5622,DELMAR BLVD,47, , ,5622,DELMAR,882053.1,1026741
15-048986,2015-10,6/11/2015 23:30,Y, , ,1, ,44012,1,"AGG.ASSAULT-HNDS,FST,FEET/CTZEN ADLT 2ND DEGRE",6412,MICHIGAN AVE,1,RED S 8TH INNING,@BAR- REDS EIGHTH INNING,6412,MICHIGAN,891422.7,991956
15-028770,2015-10,6/12/2015 2:14,Y, , ,1, ,65701,6,LARCENY-MTR VEH PARTS UNDER $500,0,MCLARAN AVE / OXFORD LN,73, , , , ,891384.3,1050548
15-030201,2015-10,6/15/2015 8:00,Y, , ,1, ,51122,5,BURGLARY-RESIDENCE/DAY/UNLAW ENT/UNOCCUPIED,6218,WATERMAN BLVD,46, , ,6218,WATERMAN,876976.8,1025872
15-053311,2015-10,6/16/2015 14:00,Y, , ,1, ,71013,5,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,0,SAINT LOUIS AVE / SEMPLE AVE,50, , ,5446,ST LOUIS,886985,1035164
15-053350,2015-10,6/19/2015 13:19,Y, , ,1, ,67701,2,LARCENY-FROM BUILDING UNDER $500,4033,FLAD AVE,27, , ,4033,FLAD,891709.9,1011951
