Complaint,CodedMonth,DateOccur,FlagCrime,FlagUnfounded,FlagAdministrative,Count,FlagCleanup,Crime,District,Description,ILEADSAddress,ILEADSStreet,Neighborhood,LocationName,LocationComment,CADAddress,CADStreet,XCoord,YCoord
15-050856,2015-10,10/5/2015 17:30,Y, , ,1, ,142320,1,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,0,MINNESOTA AVE / TESSON ST,2, , , , ,888011.2,987663.6
15-050835,2015-10,10/5/2015 17:35,Y, , ,1, ,250000,4,LOITERING-BEGGING,800,N 3RD ST,35, ,STREET/SIDEWALK, , ,910107.5,1018787
15-051486,2015-10,10/5/2015 18:00,Y, , ,1, ,21000,3,RAPE -- FORCIBLE,3100,MIAMI ST,19, , ,3100,MIAMI,0,0
15-050849,2015-10,10/5/2015 18:06,Y, , ,1, ,69702,4,LARCENY-ALL OTHER UNDER $500,720,OLIVE ST,35, ,ALLEY,720,OLIVE,908135.8,1017699
15-050908,2015-10,10/5/2015 18:15,Y, , ,1, ,64711,4,LARCENY-FROM MTR VEH UNDER $500  /ATTEMPT,3042,THOMAS ST,59, , ,3042,THOMAS,899875.6,1023376
15-050843,2015-10,10/5/2015 18:44,Y, , ,1, ,266999,4,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,601,COLE ST,35, ,CITY STREET, , ,909312.3,1019807
15-050845,2015-10,10/5/2015 18:44,Y, , ,1, ,31421,3,ROBBERY-HIGHWAY  /STRNGARM/NO INJ/SUCCESS,3134,WYOMING ST,30, , ,3134,WYOMING,895850.2,1006674
15-050897,2015-10,10/5/2015 19:00,Y, , ,1, ,71013,5,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,5453,DELMAR BLVD,49, , ,5453,DELMAR,883561.5,1027076
15-050932,2015-10,10/5/2015 19:00,Y, , ,1, ,71013,1,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,217,QUINCY ST,1, , ,217,QUINCY,890441.6,990258.3
15-050903,2015-10,10/5/2015 19:00,Y, , ,1, ,64711,4,LARCENY-FROM MTR VEH UNDER $500  /ATTEMPT,3907,N 20TH ST,65, , ,3907,20TH,904642.6,1030208
15-050850,2015-10,10/5/2015 19:03,Y, , ,1, ,91114,2,"ASSAULT, ADULT, AGE 17 AND UP-DOMESTIC",4973,FYLER AVE,14, , , , ,884986.8,1007787
15-050852,2015-10,10/5/2015 19:04,Y, , ,1, ,229999,4,LIQUOR LAWS-OTHR UNSPEC LIQ OFFNSE,800,N TUCKER BLVD,35,ST PATRICKS CENTER, , , ,907168.5,1019631
15-050851,2015-10,10/5/2015 19:18,Y, , ,1, ,63701,5,LARCENY-SHOPLIFT UNDER $500,3431,UNION BLVD,50,SCHNUCKS, ,3431,UNION,888884.8,1036000
15-050859,2015-10,10/5/2015 19:29,Y, , ,1, ,91303,1,SIMPLE ASSAULT-POLICE OFFICER/NO INJURY,5008,S GRAND BLVD,16,KAISER GRAND MART, ,5008,GRAND,891517.6,997405.6
15-050853,2015-10,10/5/2015 19:30,Y, , ,1, ,266510,4,PUBLIC ORDER-TRESPASSING,1601,OLIVE ST,36, , , , ,904952.7,1018809
15-050855,2015-10,10/5/2015 19:40,Y, , ,1, ,51122,3,BURGLARY-RESIDENCE/DAY/UNLAW ENT/UNOCCUPIED,2916,KEOKUK ST,16, , ,2916,KEOKUK,896017.3,1001963
15-050863,2015-10,10/5/2015 19:55,Y, , ,1, ,41011,6,AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE,1517,ETON LA,73, , , , ,893337.6,1048765
15-050882,2015-10,10/5/2015 20:00,Y, , ,1, ,64701,5,LARCENY-FROM MTR VEH UNDER $500,4226,W GARFIELD AVE,57, , ,4226,GARFIELD,894480.9,1028205
15-050861,2015-10,10/5/2015 20:15,Y, , ,1, ,142320,1,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,116,ELWOOD ST,1, , ,116,ELWOOD,893457.6,992804
15-050938,2015-10,10/5/2015 20:30,Y, , ,1, ,31111,5,ROBBERY-HIGHWAY  /FIREARM USED/SUCCESSFUL,2800,N KINGSHIGHWAY BLVD,55, , , , ,889723.8,1032828
15-050870,2015-10,10/5/2015 20:52,Y, , ,1, ,130000,3,"STOLEN PROPERTY-BUYING,RECEIVING,POSSESSING,ET",0,S GRAND BLVD / OSAGE ST,16, , , , ,893180.8,1001919
15-050866,2015-10,10/5/2015 20:57,Y, , ,1, ,265321,2,LEAVING SCENE OF ACCIDENT,3165,IVANHOE AVE,9, , ,6596,SMILEY,876255.5,1009781
15-050865,2015-10,10/5/2015 21:00,Y, , ,1, ,63701,2,LARCENY-SHOPLIFT UNDER $500,6650,MANCHESTER AVE,10, ,@K MART - MANCHESTER,6650,MANCHESTER,877121.1,1013930
15-051499,2015-10,10/5/2015 21:00,Y, , ,1, ,266999,2,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,6650,MANCHESTER AVE,10, ,@K MART - MANCHESTER,6650,MANCHESTER,877121.1,1013930
15-050872,2015-10,10/5/2015 21:55,Y, , ,1, ,182999,5,DRUGS-POSSESSION/OTHR UNSPEC DRUG,5050,ST LOUIS AVE,52, , ,5050,ST LOUIS,889493.8,1033638
15-050895,2015-10,10/5/2015 22:00,Y, , ,1, ,142320,4,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,2839,HOWARD ST,59, , ,2839,HOWARD,900966.2,1024514
15-051564,2015-10,10/5/2015 22:00,Y, , ,1, ,92000,3,SIMPLE ASSAULT-HARRASSMENT,2902,MIAMI ST,19, , ,2902,MIAMI,896433.2,1003906
15-051145,2015-10,10/5/2015 22:00,Y, , ,1, ,71013,4,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,1400,MONROE ST,63, , , , ,907103.1,1024611
15-051005,2015-10,10/5/2015 22:30,Y, , ,1, ,71030,3,AUTO THEFT-PERM RETNT/JOY RIDE,2746,CHIPPEWA ST,16, , ,2746,CHIPPEWA,897081.4,1002465
15-050873,2015-10,10/5/2015 22:49,Y, , ,1, ,64711,4,LARCENY-FROM MTR VEH UNDER $500  /ATTEMPT,300,N 4TH ST,35,MANSION HOUSE GARAGE, ,300,4TH,909633.8,1017651
15-050876,2015-10,10/5/2015 22:54,Y, , ,1, ,31111,4,ROBBERY-HIGHWAY  /FIREARM USED/SUCCESSFUL,901,N 9TH ST,35, , , , ,908132.8,1019896
15-050892,2015-10,10/5/2015 23:00,Y, , ,1, ,72113,6,AUTO THEFT-TRUCK/PERM RETNT/UNRECOV OVER 48HR,0,DURANT AVE / THEKLA AVE,71, , ,5100,THEKLA,893626.8,1040105
15-050949,2015-10,10/5/2015 23:00,Y, , ,1, ,142320,5,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,4732,VERNON AVE,54, , ,4732,BRANNON,889958.9,1028081
15-050892,2015-10,10/5/2015 23:00, , , ,-1, ,72113,6,AUTO THEFT-TRUCK/PERM RETNT/UNRECOV OVER 48HR,0,DURANT AVE / THEKLA AVE,71, , ,5100,THEKLA,893626.8,1040105
15-050877,2015-10,10/5/2015 23:02,Y, , ,1, ,182130,5,DRUGS-POSSESSION/HEROIN,5930,KENNERLY AVE,50, , ,5930,KENNERLY,882838.1,1035950
15-052465,2015-10,10/5/2015 23:25,Y, , ,1, ,112020,4,FRAUD-CREDIT DEVICE/UNDER $150,1518,DESTREHAN ST,65, , ,1518,DESTREHAN,905881.2,1028827
15-050885,2015-10,10/5/2015 23:35,Y, , ,1, ,182400,4,DRUGS-POSSESSION/MARIJUANA,800,N 14TH ST,36, , , , ,906380.6,1019734
15-050880,2015-10,10/5/2015 23:53,Y, , ,1, ,182999,3,DRUGS-POSSESSION/OTHR UNSPEC DRUG,3755,S GRAND BLVD,19, , ,3701,GRAND,893334.4,1003517
15-050886,2015-10,10/6/2015 0:01,Y, , ,1, ,265321,5,LEAVING SCENE OF ACCIDENT,3911,LINCOLN AVE,56, , ,3900,LINCOLN,897719.8,1027954
15-052375,2015-10,10/6/2015 0:05,Y, , ,1, ,31111,5,ROBBERY-HIGHWAY  /FIREARM USED/SUCCESSFUL,1,BROOKINGS DR,46, , ,1,BROOKINGS,876789.9,1024683
15-050914,2015-10,10/6/2015 0:15,Y, , ,1, ,64601,1,"LARCENY-FROM MTR VEH $500 - $24,999",5017,S BROADWAY,17, ,1ST FLR REAR,5017,BROADWAY,894838.1,995309.1
15-050888,2015-10,10/6/2015 0:15,Y, , ,1, ,41011,2,AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE,3811,FAIRVIEW AVE,15, ,REAR,3460,TENNESSEE,892277.4,1005839
15-050881,2015-10,10/6/2015 0:34,Y, , ,1, ,229999,4,LIQUOR LAWS-OTHR UNSPEC LIQ OFFNSE,1601,OLIVE ST,36, ,CITY STREET, , ,904952.7,1018809
15-050889,2015-10,10/6/2015 0:38,Y, , ,1, ,151110,2,WEAPONS-STATE VIOL/UNLWFL USE/POSSESSION,4260,HAMPTON AVE,7,HAMPTON VILLAGE, ,4260,HAMPTON,879018.3,1005017
15-050887,2015-10,10/6/2015 0:45,Y, , ,1, ,103000,3,FORGERY-ISSUING FALSE INSTRUMENT OR CERTIFICAT,3739,MINNESOTA AVE,19,MINNESTOA AVE, ,3209,GRAVOIS,895595.4,1003026
15-050884,2015-10,10/6/2015 1:00,Y, , ,1, ,263820,4,OBSTRUCT GOVRN OP-PARK ORD VIOL,1200,PINE ST,35, ,CITY PARK, , ,906567.2,1018060
15-050893,2015-10,10/6/2015 1:01,Y, , ,1, ,82000,5,ARSON-2ND DEGREE/SUCCESS,3436,UNION BLVD,52,ROYALS FOOD AND LIQUOR, ,3436,UNION,889172.6,1035942
15-050890,2015-10,10/6/2015 1:20,Y, , ,1, ,31111,1,ROBBERY-HIGHWAY  /FIREARM USED/SUCCESSFUL,4413,PENNSYLVANIA AVE,17, , ,4413,PENNSYLVANIA,895236.9,998681.2
15-050905,2015-10,10/6/2015 1:30,Y, , ,1, ,71013,1,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,5045,ALABAMA AVE,16, , ,5045,ALABAMA,892655.7,996219.3
15-050891,2015-10,10/6/2015 1:49,Y, , ,1, ,71040,1,AUTO THEFT-PERM RETNT/ATTEMPT,223,BATES ST,1, , ,223,BATES,893558.2,993929.9
15-050912,2015-10,10/6/2015 2:30,Y, , ,1, ,64701,4,LARCENY-FROM MTR VEH UNDER $500,3022,THOMAS ST,59, , ,3022,THOMAS,899949.6,1023279
15-050894,2015-10,10/6/2015 3:00,Y, , ,1, ,67601,3,"LARCENY-FROM BUILDING $500 - $24,999",3711,PENNSYLVANIA AVE,19, , ,3439,OHIO,895964.3,1003254
15-050898,2015-10,10/6/2015 3:50,Y, , ,1, ,142320,5,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,4429,KENNERLY AVE,57, , ,4429,KENNERLY,893715.7,1030363
15-050924,2015-10,10/6/2015 4:00,Y, , ,1, ,51330,1,BURGLARY-RESDNCE/UNK TIM/ATT FORCE ENTRY,4623,ALEXANDER ST,5, ,GARAGE,4623,ALEXANDER,889033.7,1000339
15-050902,2015-10,10/6/2015 5:45,Y, , ,1, ,41016,4,ASSLT-AGGRAV-FIREARM-3RD-ADULT-DOMESTIC,2100,KISLING LN,63, , ,2100,KISLING,907942.8,1024267
15-050899,2015-10,10/6/2015 5:50,Y, , ,1, ,142320,2,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,3547,GILES AVE,15, ,FOUR FAMILY FLAT,3547,GILES,892589.8,1004782
15-051131,2015-10,10/6/2015 6:00,Y, , ,1, ,51130,1,BURGLARY-RESIDENCE/DAY/ATT FORCE ENTRY,6229,GRAVOIS AVE,6, , ,6229,GRAVOIS,883345.3,998266.2
15-050901,2015-10,10/6/2015 6:59,Y, , ,1, ,266510,4,PUBLIC ORDER-TRESPASSING,1881,PINE ST,36,LAFAYETTE PREP SCHOOL, ,1881,PINE,903904.8,1018757
15-050977,2015-10,10/6/2015 7:00,Y, , ,1, ,51122,3,BURGLARY-RESIDENCE/DAY/UNLAW ENT/UNOCCUPIED,2114,SIDNEY ST,22, , ,2114,SIDNEY,900310.1,1008864
15-050907,2015-10,10/6/2015 7:27,Y, , ,1, ,250000,4,LOITERING-BEGGING,600,GRATIOT ST,35, , , , ,907533.1,1014334
15-050919,2015-10,10/6/2015 7:51,Y, , ,1, ,265321,2,LEAVING SCENE OF ACCIDENT,0,ARSENAL ST / IVANHOE AVE,9, , , , ,876482.4,1010441
15-051032,2015-10,10/6/2015 8:00,Y, , ,1, ,142320,3,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,1616,CALIFORNIA AVE,31,HODGEN ELEMENTARY SCHOOL, ,1616,CALIFORNIA,898763.9,1013605
15-050998,2015-10,10/6/2015 8:00,Y, , ,1, ,65701,4,LARCENY-MTR VEH PARTS UNDER $500,1621,N 1ST ST,64, , ,1621,1ST,910656.5,1022546
15-050956,2015-10,10/6/2015 8:00,Y, , ,1, ,263422,2,OBSTRUCT GOVRN OP-CITY COMM LIC VIOL,2733,HEREFORD ST,13,BEST USED CARS, , , ,884911.6,1010408
15-051703,2015-10,10/6/2015 8:00,Y, , ,1, ,142320,6,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,1541,MCLARAN AVE,73, , ,1541,MCLARAN,893602.5,1049924
15-050917,2015-10,10/6/2015 8:06,Y, , ,1, ,265321,4,LEAVING SCENE OF ACCIDENT,2100,E GRAND BLVD,66, , , , ,903166.9,1032800
15-051043,2015-10,10/6/2015 8:15,Y, , ,1, ,204100,2,FAMILY & CHILD CRIME-ENDANGR WELF CHILD,3242,SULPHUR AVE,14, , ,3242,SULPHUR,880389.4,1008226
15-050923,2015-10,10/6/2015 8:26,Y, , ,1, ,265321,1,LEAVING SCENE OF ACCIDENT,7425,S GRAND AVE,4, , ,7425,GRAND,887056.1,990955.8
15-051027,2015-10,10/6/2015 8:30,Y, , ,1, ,73413,3,AUTO THEFT-OTHR VEH/PERM RETNT/UNRECOV OVER 48,1933,SIDNEY ST,22, , ,1933,SIDNEY,901227.2,1008761
15-051380,2015-10,10/6/2015 8:30,Y, , ,1, ,65701,6,LARCENY-MTR VEH PARTS UNDER $500,4418,RICHARD PL,69, , ,4418,RICHARD,895503.9,1036842
15-050951,2015-10,10/6/2015 8:50,Y, , ,1, ,142320,6,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,4867,PENROSE ST,69, , ,4867,PENROSE,893317.8,1036656
15-050931,2015-10,10/6/2015 8:50,Y, , ,1, ,182400,4,DRUGS-POSSESSION/MARIJUANA,3035,CASS AVE,59, ,@VASHON HIGH SCHOOL,3035,CASS,899825.3,1024601
15-050925,2015-10,10/6/2015 8:55,Y, , ,1, ,265321,5,LEAVING SCENE OF ACCIDENT,0,BARNES JEWISH HOSPITAL PLZ / S,38, , , , ,886931.8,1020171
15-051012,2015-10,10/6/2015 9:15,Y, , ,1, ,64601,2,"LARCENY-FROM MTR VEH $500 - $24,999",6608,WELLS DR,82,FOREST PARK,FOREST PARK,1,GOVERNMENT,878007.8,1020138
15-050936,2015-10,10/6/2015 9:21,Y, , ,1, ,265321,6,LEAVING SCENE OF ACCIDENT,848,MURIEL ST,74, , , , ,897043,1048674
15-051055,2015-10,10/6/2015 10:00,Y, , ,1, ,51322,1,BURGLARY-RESDNCE/UNK TIM/UNLW EN/UNOCCUPIED,4467,GANNETT ST,5, , ,4467,GANNETT,885593.2,1002109
15-050935,2015-10,10/6/2015 10:22,Y, , ,1, ,112020,5,FRAUD-CREDIT DEVICE/UNDER $150,1136,AUBERT AVE,53, , ,1136,AUBERT,888535,1028097
15-050945,2015-10,10/6/2015 10:31,Y, , ,1, ,266999,4,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,2811,CLARK AVE,37, , ,2811,CLARK,900093.9,1018317
15-051184,2015-10,10/6/2015 11:00,Y, , ,1, ,44016,1,ASSLT-AGGRV-HND/FST/FT-3RD-ADUL-DOMESTIC,3705,KEOKUK ST,16, , ,3705,KEOKUK,892384.3,1002632
15-050983,2015-10,10/6/2015 11:10,Y, , ,1, ,64601,2,"LARCENY-FROM MTR VEH $500 - $24,999",6101,GOVERNMENT DR,82, ,@FOREST PARK - BOAT DOCK,6101,GOVERNMENT,881437.4,1021756
15-050953,2015-10,10/6/2015 11:15,Y, , ,1, ,142320,6,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,4515,MARGARETTA AVE,69, , ,4517,MARGARETTA,894974,1034259
15-050959,2015-10,10/6/2015 11:20,Y, , ,1, ,265321,5,LEAVING SCENE OF ACCIDENT,5913,ETZEL AVE,48, , ,5913,ETZEL,880342.6,1030979
15-050943,2015-10,10/6/2015 11:25,Y, , ,1, ,266510,6,PUBLIC ORDER-TRESPASSING,2900,N EUCLID AVE,55, , ,2900,EUCLID,890935.1,1033012
15-050957,2015-10,10/6/2015 11:30,Y, , ,1, ,130000,6,"STOLEN PROPERTY-BUYING,RECEIVING,POSSESSING,ET",0,CORA AVE / KOSSUTH AVE,69, , , , ,894566.6,1035121
15-050999,2015-10,10/6/2015 11:30,Y, , ,1, ,71013,4,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,1000,N GRAND BLVD,77,CLYDE C MILLER SCHOOL, ,1000,GRAND,897508.7,1022846
15-050950,2015-10,10/6/2015 11:53,Y, , ,1, ,250000,4,LOITERING-BEGGING,300,CARR ST,35, ,CARR / HIGHWAY 70 WESTBOUND ENTRANCE, , ,910117.3,1019851
15-050962,2015-10,10/6/2015 11:55,Y, , ,1, ,265321,4,LEAVING SCENE OF ACCIDENT,100,S JEFFERSON AVE,36, , , , ,901243.3,1018318
15-050965,2015-10,10/6/2015 11:58,Y, , ,1, ,182130,3,DRUGS-POSSESSION/HEROIN,1236,DILLON DR,33,CLINTON PEABODY HOUSING COMPLEX,CLINTON PEABODY HOUSING COMPLEX, , ,903907.9,1013842
15-050954,2015-10,10/6/2015 12:00,Y, , ,1, ,130000,2,"STOLEN PROPERTY-BUYING,RECEIVING,POSSESSING,ET",3716,POTOMAC ST,15, ,REAR,3503,GILES,892640.6,1005207
15-051014,2015-10,10/6/2015 12:00,Y, , ,1, ,142320,5,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,3436,BELT AVE,50, , ,3436,BELT,887554.5,1036736
15-051003,2015-10,10/6/2015 12:00,Y, , ,1, ,64701,2,LARCENY-FROM MTR VEH UNDER $500,2111,SULPHUR AVE,11, , ,2111,SULPHUR,880742.6,1013714
15-050993,2015-10,10/6/2015 12:00,Y, , ,1, ,61701,4,LARCENY-PICKPOCKET UNDER $500,1610,OLIVE ST,36,CENTENARY CHURCH, ,55,PLAZA,904990.8,1018745
15-052879,2015-10,10/6/2015 12:00,Y, , ,1, ,51312,5,BURGLARY-RESDNCE/UNK TIM/FORC ENT/UNOCCUPIED,4812,HIGHLAND AVE,55, , ,4812,HIGHLAND,890584.4,1031453
15-050958,2015-10,10/6/2015 12:05,Y, , ,1, ,51112,1,BURGLARY-RESIDENCE/DAY/FORCE ENT/UNOCCUPIED,3913,DELOR ST,5, , ,3913,DELOR,889375.3,999056.1
15-050964,2015-10,10/6/2015 12:20,Y, , ,1, ,91113,3,SIMPLE ASSAULT-ADULT/NO INJURY,3933,S BROADWAY,16, ,@ALEXIAN BROTHERS HOSPITAL,3933,BROADWAY,897890.5,1001421
15-050961,2015-10,10/6/2015 12:26,Y, , ,1, ,265321,2,LEAVING SCENE OF ACCIDENT,3706,THOLOZAN AVE,15, , ,3706,THOLOZAN,892574.6,1004167
15-050968,2015-10,10/6/2015 12:30,Y, , ,1, ,64601,4,"LARCENY-FROM MTR VEH $500 - $24,999",0,BIDDLE ST / N LEONOR K SULLIVA,64, ,ALIAS NLK SULLIVAN/BIDDLE, , ,911184.4,1020319
15-050960,2015-10,10/6/2015 12:30,Y, , ,1, ,64601,4,"LARCENY-FROM MTR VEH $500 - $24,999",1,S MEMORIAL DR,35, , ,209,WALNUT,909287.8,1016389
15-050971,2015-10,10/6/2015 12:45,Y, , ,1, ,63701,1,LARCENY-SHOPLIFT UNDER $500,932,LOUGHBOROUGH AVE,1, ,@LOUGHBOROUGH COMMONS - LOWES,932,LOUGHBOROUGH,888524.2,991611.8
15-050973,2015-10,10/6/2015 12:49,Y, , ,1, ,91114,3,"ASSAULT, ADULT, AGE 17 AND UP-DOMESTIC",4028,NEBRASKA AVE,16, ,MUTLIFAMILY,4028,NEBRASKA,896139.6,1001046
15-050973,2015-10,10/6/2015 12:49,Y, , ,1, ,91114,3,"ASSAULT, ADULT, AGE 17 AND UP-DOMESTIC",4028,NEBRASKA AVE,16, ,MUTLIFAMILY,4028,NEBRASKA,896139.6,1001046
15-050963,2015-10,10/6/2015 12:50,Y, , ,1, ,182130,1,DRUGS-POSSESSION/HEROIN,4650,S SPRING AVE,16, , ,4650,SPRING,890690.6,999312.3
15-051023,2015-10,10/6/2015 13:00,Y, , ,1, ,64601,2,"LARCENY-FROM MTR VEH $500 - $24,999",2111,SULPHUR AVE,11, , ,2111,SULPHUR,880742.6,1013714
15-050974,2015-10,10/6/2015 13:00,Y, , ,1, ,182130,5,DRUGS-POSSESSION/HEROIN,2917,UNION BLVD,50, , ,2917,UNION,888224.4,1034675
15-051377,2015-10,10/6/2015 13:00,Y, , ,1, ,51330,1,BURGLARY-RESDNCE/UNK TIM/ATT FORCE ENTRY,327,MOTT ST,1, , ,327,MOTT,891065.9,991619.7
15-050975,2015-10,10/6/2015 13:16,Y, , ,1, ,182260,3,DRUGS-POSSESSION/METHAMPHETAMINE,1530,LAFAYETTE AVE,33, , , , ,903270.1,1012207
15-050967,2015-10,10/6/2015 13:23,Y, , ,1, ,266999,3,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,1425,HICKORY LN,33, , ,1425,HICKORY,904245.2,1013903
15-050970,2015-10,10/6/2015 13:41,Y, , ,1, ,266999,4,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,35,S GRAND BLVD,37, , ,35,GRAND,896073.6,1019677
15-050976,2015-10,10/6/2015 13:45,Y, , ,1, ,91114,6,"ASSAULT, ADULT, AGE 17 AND UP-DOMESTIC",5246,MIMIKA AVE,76, , , , ,889311.3,1045223
15-050980,2015-10,10/6/2015 14:10,Y, , ,1, ,266999,1,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,4900,S BROADWAY,17, , ,4900,BROADWAY,895404.5,995520.3
15-051212,2015-10,10/6/2015 14:10,Y, , ,1, ,182400,4,DRUGS-POSSESSION/MARIJUANA,1000,N GRAND BLVD,77,CLYDE C MILLER, ,1000,GRAND,897508.7,1022846
15-050982,2015-10,10/6/2015 14:20,Y, , ,1, ,151130,6,WEAPONS-STATE VIOL/UNLWFL USE/CARRYING,816,RIVERVIEW BLVD,74, , , , ,897675.4,1053285
15-051016,2015-10,10/6/2015 14:24,Y, , ,1, ,64601,2,"LARCENY-FROM MTR VEH $500 - $24,999",1,FINE ARTS DR,82, ,@FOREST PARK - ART MUSEUM,1,FINE ARTS,878856.8,1021748
15-050994,2015-10,10/6/2015 14:33,Y, , ,1, ,69603,4,"LARC-ALL OTH/FRM PRSN/$500 - $24,999",2719,BLAIR AVE,63, ,WEST SIDE OF THE STREET NEAR THE VAC,2708,FLORISSANT,906369.9,1025767
15-051008,2015-10,10/6/2015 14:45,Y, , ,1, ,64601,2,"LARCENY-FROM MTR VEH $500 - $24,999",6523,GOVERNMENT DR,82,FOREST PARK,ON STREET NORTH SIDE OF ZOO,6523,GOVERNMENT,878699.3,1020942
15-050984,2015-10,10/6/2015 14:51,Y, , ,1, ,265321,2,LEAVING SCENE OF ACCIDENT,1688,THURMAN AVE,28, , , , ,891619,1014058
15-050988,2015-10,10/6/2015 14:54,Y, , ,1, ,265321,3,LEAVING SCENE OF ACCIDENT,2000,S 7TH ST,20, , , , ,905183.9,1009687
15-051033,2015-10,10/6/2015 15:00,Y, , ,1, ,71030,1,AUTO THEFT-PERM RETNT/JOY RIDE,4263,VIRGINIA AVE,16, ,APT 201,4263,VIRGINIA,894002.6,999741.6
15-051289,2015-10,10/6/2015 15:00,Y, , ,1, ,67601,1,"LARCENY-FROM BUILDING $500 - $24,999",7209,MINNESOTA AVE,1, , ,7209,MINNESOTA,889698.1,989785.5
15-053522,2015-10,10/6/2015 15:00,Y, , ,1, ,71013,6,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,915,HORNSBY AVE,74, , ,915,HORNSBY,896542.5,1050746
15-054822,2015-10,10/6/2015 15:00,Y, , ,1, ,266999,3,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,3430,S GRAND BLVD,25, ,@SCHNUCKS- S GRAND AND GRAVOIS,3430,GRAND,893788.8,1005469
15-050979,2015-10,10/6/2015 15:00,Y, , ,1, ,63701,3,LARCENY-SHOPLIFT UNDER $500,3430,S GRAND BLVD,25, ,@SCHNUCKS- S GRAND AND GRAVOIS,3430,GRAND,893788.8,1005469
15-050995,2015-10,10/6/2015 15:00,Y, , ,1, ,67601,1,"LARCENY-FROM BUILDING $500 - $24,999",6656,GRAVOIS AVE,4, , ,6656,GRAVOIS,882129,996925.3
15-050990,2015-10,10/6/2015 15:00,Y, , ,1, ,182400,4,DRUGS-POSSESSION/MARIJUANA,310,N 15TH ST,36,CONFLUENCE PREPARTORY ACADEMY, ,310,15TH,905455.4,1018670
15-050996,2015-10,10/6/2015 15:08,Y, , ,1, ,142320,5,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,5948,PLYMOUTH AVE,48, , , , ,880193.7,1031430
15-050997,2015-10,10/6/2015 15:14,Y, , ,1, ,265321,5,LEAVING SCENE OF ACCIDENT,5508,DR MARTIN LUTHER KING DR,78, , , , ,885010.5,1032211
15-051007,2015-10,10/6/2015 15:30,Y, , ,1, ,41023,5,AGG.ASSAULT-FIREARM/CITIZEN CHILD 3RD DEGREE,1200,ACADEMY AVE,51, , ,5021,VERNON,887146.2,1028712
15-051007,2015-10,10/6/2015 15:30,Y, , ,1, ,41023,5,AGG.ASSAULT-FIREARM/CITIZEN CHILD 3RD DEGREE,1200,ACADEMY AVE,51, , ,5021,VERNON,887146.2,1028712
15-051071,2015-10,10/6/2015 16:00,Y, , ,1, ,142320,4,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,1452,PRESERVATION PL,61, , ,1452,PRESERVATION,906689.7,1022067
15-051066,2015-10,10/6/2015 16:00,Y, , ,1, ,142320,3,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,2661,NEBRASKA AVE,25, , ,2661,NEBRASKA,897275.4,1009371
15-051143,2015-10,10/6/2015 16:00,Y, , ,1, ,142320,3,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,1320,S BROADWAY,20,M & L FOODS INC., ,1320,BROADWAY,907298.1,1012134
15-051002,2015-10,10/6/2015 16:10,Y, , ,1, ,265321,2,LEAVING SCENE OF ACCIDENT,0,HAMPTON AVE / I 64 EASTBOUND,41, , , , ,881185.9,1018744
15-051120,2015-10,10/6/2015 16:30,Y, , ,1, ,64701,5,LARCENY-FROM MTR VEH UNDER $500,0,DE BALIVIERE AVE / LINDELL BLV,47,@HISTORY MUSEUM, ,5700,LINDELL,881513.5,1024174
15-051717,2015-10,10/6/2015 16:30,Y, , ,1, ,117000,2,FAILURE TO RETURN BORROWED/RENTED VEHICL,4931,MARDEL AVE,14, ,APT 2ND FLOOR,4931,MARDEL,884899.9,1004831
